ra,dec
344.2946,-0.77814367
352.31091,0.810253
356.19772,-1.166644
324.77634,-0.110783
327.78517,1.13203
323.20746,0.487248
342.62506,-0.41754161
324.56093,1.130023
323.63435,0.833897
336.26676,0.027682581
343.06254,-0.21915261
326.55515,0.458779
335.79684,1.2112969
346.78691,0.38836596
355.44201,-0.556232
348.09835,-0.94713981
327.38784,0.340136
328.16608,0.196648
355.8152,0.114018
324.37293,0.935512
339.78407,0.605809
321.85246,-0.402618
309.78493,0.205338
327.68376,0.86915
353.4372,-0.14091579
324.74635,0.828821
317.29584,-0.495738
322.41452,0.704718
321.11218,0.509455
341.81407,0.45818
349.50464,1.108807
347.3343,0.41474713
324.92793,-0.488503
316.37896,1.054389
324.7889,-1.0820527
337.99455,1.2039996
316.31467,0.895803
335.20072,0.00055627791
319.99661,0.81116823
318.03497,0.841563
315.72742,-0.550582
338.32373,0.186091
327.44028,-0.783844
328.19952,0.954512
328.62752,-0.08466
322.51249,0.75488494
325.74796,1.2200794
352.59027,-0.03231557
325.04608,0.278362
323.79568,-0.30060634
359.55646,0.362538
311.14655,-0.854719
319.05106,0.4993673
325.51266,-0.272231
337.78861,-1.1472454
323.94333,0.062512
324.01477,-0.7986
342.26223,0.28169389
316.28246,-0.928329
334.01882,0.74106751
310.48512,0.574825
346.41438,-0.70396244
324.62392,-0.635185
335.44338,-0.39340051
336.55117,0.10572678
327.57856,0.341959
322.55752,0.226577
328.12412,1.0909536
328.35338,0.171115
317.19509,0.13271795
357.16008,-0.7318
324.60591,-0.12818
333.04745,0.23219344
345.77141,0.58039829
325.43461,-1.148803
346.17425,-0.81582496
334.80381,0.75025818
329.73489,-0.84857756
323.83928,-1.0342577
316.3005,-1.026288
333.31576,0.714474
334.78059,-1.2375502
333.69662,0.840623
329.08228,0.906846
352.60109,0.78432539
330.34072,1.0154134
354.67469,0.66622833
331.49194,0.496347
356.28528,-0.422014
325.24996,0.978212
334.73948,1.0732673
356.78249,-0.390704
320.24374,0.311482
357.15582,0.385113
312.06623,-0.98382818
355.53364,-0.71319702
321.99196,-0.44019146
356.44991,0.039015
329.2913,-1.0788788
347.12986,-0.71828586
357.45321,-1.1001356
336.52994,-0.546494
347.43124,-0.4886399
330.40459,-0.3856204
334.17631,0.77645202
333.71548,-0.5407417
324.57205,-0.584504
328.56979,-0.95793
355.75605,-0.603674
332.38368,-0.71805369
316.24131,0.572108
318.41494,0.186616
347.20941,-0.2114474
318.23403,0.483029
330.95291,0.92199443
349.76711,-0.45015906
332.09469,0.26311419
328.13761,-1.0961
351.91545,-0.67294271
322.06348,-0.62026569
343.72245,-0.23923856
317.2344,0.913647
330.39035,0.055697
342.96146,0.17615555
358.26172,1.1155669
331.19501,1.163071
317.47781,0.11557524
326.24012,0.483282
324.27481,-0.304803
327.5385,0.130051
326.11676,0.400254
317.63562,0.917903
325.89437,0.170766
321.67696,0.57879736
323.71189,-0.219918
355.72681,1.21547
309.70116,-0.148615
346.26157,-1.0259838
327.82033,-0.421554
326.34155,0.179046
310.28102,1.159412
344.96006,-0.34532438
336.49532,-0.4696335
325.66777,0.98026443
332.63287,0.11261749
310.61736,-0.166349
340.31447,-0.304105
329.57543,0.69573404
335.04922,0.42533464
323.44203,-1.127404
321.93722,0.44151725
350.28356,0.8549377
348.06171,0.687469
319.11232,-0.31934297
338.42293,-0.0084445367
337.58968,-1.1510105
332.13493,1.206034
326.61929,-0.72343
328.49831,0.507287
336.3507,0.19261709
319.85694,0.98652662
332.47609,1.2035778
328.77299,-0.703116
359.29453,0.68948371
329.47226,0.78346
343.80042,-0.0069418386
322.01875,-0.096113
310.4392,0.759647
326.17885,0.594274
327.1091,-0.841093
320.25286,0.7286291
317.83539,-1.048554
334.63066,0.043488476
329.30403,-0.017695
310.37455,-0.318631
311.35603,-0.95616
336.43704,0.21634165
317.70325,-0.209689
334.80616,0.78136374
329.15864,1.203985
333.99776,1.0920689
335.04744,-0.097143336
325.11549,0.695642
310.17843,-0.621565
328.8866,0.98640291
344.42546,0.46527401
323.53394,0.914249
331.75272,-0.14568815
336.14951,-0.52184673
336.69064,0.92665909
320.43953,0.1096679
324.04252,1.1829057
353.17428,-0.11030214
310.85479,1.184538
312.16256,0.444089
322.81635,0.914609
354.7575,0.014776
337.61945,-0.12544568
334.46498,-0.39969359
327.35389,-0.911336
330.01515,-0.067551358
309.99859,-0.647646
354.53413,-0.61262827
336.21601,1.1322103
352.45802,-0.47573614
311.83291,-1.131939
324.81682,0.320492
332.21574,0.5838127
309.97617,-0.762395
340.42892,-0.293011
332.46677,0.69622054
324.68902,-0.112548
330.80074,0.26321431
342.83866,0.38535339
327.08794,0.047457
310.09064,-0.2392388
344.17841,0.92557576
338.08885,0.93081974
316.87476,0.404772
320.52437,0.46581277
317.62438,0.066607
323.15241,0.96056651
340.22627,0.065987053
329.52271,0.084122
350.15392,-0.38476827
314.56366,0.46349747
356.125,0.269906
312.27923,1.2052776
335.77553,0.45219995
355.98186,1.235935
359.3584,0.232569
344.33678,-0.090270932
332.55832,0.19525144
315.26322,-1.1776572
311.73204,0.871701
324.95806,-0.735625
325.38004,-0.278844
335.31243,0.8651194
325.27367,0.927778
336.60312,-0.804533
316.7683,-0.002834
334.59482,-0.81107289
332.46331,0.87819843
356.96335,0.088029
323.69895,-0.631819
358.57468,0.758348
329.77119,0.448807
311.3012,-0.144692
317.40652,-0.064584
356.70878,-0.566995
332.47021,-0.436936
318.20517,0.544319
316.01382,0.502689
342.35352,0.0042789485
326.64369,0.908307
327.69037,0.106323
336.49526,0.96346203
339.90234,-1.071599
317.73881,0.065019
329.21699,-0.938449
325.50321,-0.777808
317.36781,0.75360673
331.86037,-1.0172303
323.93919,0.583462
340.22957,0.67647293
355.08491,-0.788179
330.17578,-1.182306
353.68051,0.66599987
327.6234,0.571294
311.79723,0.255911
355.72618,0.560229
324.43835,-0.29285556
330.62412,0.96599214
312.70044,-0.808068
354.22506,0.85960399
332.36185,-1.0845362
334.97957,1.0284322
349.14142,1.17547
315.94459,0.777818
325.21378,-0.566964
316.22637,-0.49042
313.50243,0.29424705
341.6171,0.96598
323.62994,0.792197
348.51737,0.98671596
324.4581,-0.369775
316.25743,0.321867
328.83867,-0.564409
356.20864,-0.074073
358.06461,-0.33339
320.62687,1.2396747
327.53634,0.43506991
359.06446,-1.0211555
342.68036,-0.0021491391
317.85584,1.1556702
317.13197,1.237268
314.30957,-0.68867
327.91482,0.700957
334.0314,0.85576679
330.74697,-0.12821185
358.81277,-0.86922622
336.9409,-0.26677024
335.74128,0.78139091
323.37048,-0.226174
356.7674,-0.384051
333.56854,-0.14605165
329.56651,-1.0948249
311.14844,-0.51627
341.94787,-0.079404001
335.32486,0.47539486
343.53907,-0.98565399
335.82591,0.11142472
323.93453,0.37475
336.90295,-0.203894
324.76476,0.54886677
323.21045,-1.138615
324.23317,0.97297282
351.66925,0.993744
323.42683,1.012223
323.22818,0.402161
328.17954,1.0266619
310.50553,0.46683788
339.96784,0.855933
355.36462,-0.299873
